	驮	dou2	㊀拿。
	滑	wah8	㊀滑动。
	划	wak8	㊀割。
	剪	cian3
	割	koh7
	割	kiah7
	剐	kua3
	解	ka3
	解木头	ka3 muk8 deo9
	解锯	ka3 kei5
	抄	chao1
	照抄	ciao5 chao1
	撬	giao4
	撬	giao4	㊀批发。
	夯	hang1
	浇	kiao1
	掭	thian5	㊀涂，上色。
	生	sang1
	生火	sang1 hou3
	扫	sao3
	打扫	tang3 sao3
	扫垃圾	sao3 leh8 seh7
	粜米	thiao1 mhi3
	𥫷	khieo1
	𥫷桶	khieo1 dung9
	箍	khu1
	箍桶	khu1 dung9
	做	cou5
	做生日	cou5 sang1 nih8
	做生意	cou5 sang1 i5
	做螺丝	cou5 lou2 sy1
	做厂	cou5 chiang3
	做戏	cou5 hi5
	做游戏	cou5 yeo2 hi5
	倒	tao3	㊀倒。㊁倒闭。
	倒	tao5	㊀倾倒。㊁对调，转移，更换：放~款。
	放倒款	fong5 tao5 khuon9
	妆	cong1	㊀做。
	妆饭	cong1 van6
	妆吤某	cong1 ka3 mh
	妆哬某	cong1 ra2 mh
	妆扮	cong1 pan5
	妆妆	cong1 cong9
	录	luk8	㊀攒钱，积蓄。
	上	zong4	㊀装填。㊁安装。
	上子弹	zong4 cy3 dan6
	zong	zong4	㊀外表遗传。
	zong伯ㄦ	zong4 pang9
	zong孃	zong4 niang2
	zong爷爷	zong4 ya2 ya9
	zong孃孃	zong4 nhiang1 nhiang
	zong孃舅	zong4 niang2 gieo9
	点	tian3
	点灯	tian3 ten1
	点蜡烛	tian3 lah8 ciuk7
	点洋蜡烛	tian3 yang2 lah8 ciuk7
	点香	tian3 hiang1
	套	thao5
	关门	kuan1 men2
	开门	khei1 men2
	用	yung6
	向	hiang5	㊀朝向。
	向门	hiang5 men9
	落	lok8	㊀丢失。
	yong	yong6	㊀摇晃。
