	驮	dou2	㊀拿。
1	拍弗liao	phak7 feh7 liao
1	拍khao	phak7 khao
1	拍djiao	phak7 djiao
	脚骨拍开	kiak7 kueh7 phak7 khei
	脚拍开	kiak7 phak7 khei
	扼	nkak7	㊀折弯。
	扼粽	nkak7 cung5
	扼断	nkak7 don4
	扼弗断	nkak7 feh7 don4
	扼两断	nkak7 lhiang3 don9
	扼两爿	nkak7 lhiang3 ban9
	扼碎	nkak7 sei5
	扼弗碎	nkak7 feh7 sei5
1	扼扼	nkak7 nkak
1	扼扼过	nkak7 nkak kou
1	扼扼爻	nkak7 nkak rao
1	扼眼爻	nkak7 nkan rao
1	扼粒爻	nkak7 nhoh rao
1	扼扼出	nkak7 nkak chv
1	扼起	nkak7 khi
1	扼起来	nkak7 khih7 lei
1	扼扼ㄦ	nkak7 nkang
1	扼来	nkak7 lei
1	扼及来	nkak7 gih8 lei
1	扼及弗来	nkak7 gih8 feh7 lei2
1	扼及去	nkak7 gih8 khei
1	扼及giao	nkak7 gih8 giao
1	扼爻	nkak7 rao
1	扼fao	nkak7 fao9
1	扼去	nkak7 khei
1	扼弗去	nkak7 feh7 khei5
1	扼djiao	nkak7 djiao
1	扼liao	nkak7 liao
1	扼弗liao	nkak7 feh7 liao2
1	扼khao	nkak7 khao
	拗	㊀使（凳子等）翘起。
	拗兜
	拗拗板
	拗手腰掼里	ao5 xieo3 iao1 guan6 lhi
1	拗拗	ao5 ao
1	拗拗过	ao5 ao kou
1	拗起	ao5 khi
1	拗起来	ao5 khih7 lei
1	拗来	ao5 lei
1	拗弗来	ao5 feh7 lei2
1	拗及来	ao5 gih8 lei
1	拗及弗来	ao5 gih8 feh7 lei2
1	拗及去	ao5 gih8 khei
1	拗去	ao5 khei
1	拗弗去	ao5 feh7 khei5
1	拗djiao	ao5 djiao
1	拗liao	ao5 liao
1	拗弗liao	ao5 feh7 liao
1	拗khao	ao5 khao
	抈	nhvh7
	抈断	nhvh7 don4
1	抈抈	nhvh7 nhvh
1	抈抈过	nhvh7 nhvh kou
1	抈抈来	nhvh7 nhvh lei
1	抈抈爻	nhvh7 nhvh rao
1	抈起	nhvh7 khi
1	抈起来	nhvh7 khih7 lei
1	抈来	nhvh7 lei
1	抈弗来	nhvh7 feh7 lei2
1	抈及来	nhvh7 gih8 lei
1	抈及去	nhvh7 gih8 khei
1	抈及giao	nhvh7 gih8 giao
1	抈爻	nhvh7 rao
1	抈去	nhvh7 khei
1	抈弗去	nhvh7 feh7 khei5
1	抈djiao	nhvh7 djiao
1	抈liao	nhvh7 liao
1	抈弗liao	nhvh7 feh7 liao
1	抈khao	nhvh7 khao
1	抈dao	nhvh7 dao
1	抈牢	nhvh7 lao
	盘	bon2
	盘盘	bon2 bon
1	盘盘来	bon2 bon lei
1	盘盘起	bon2 bon khi
	盘起	bon2 khi
1	盘起来	bon2 khih7 lei
	盘后髋	bon2 eo3 khun9
	手盘后髋	xieo3 bon2 eo3 khun9
	手骨盘后髋	xieo3 kueh7 bon2 eo3 khun9
	lung	lung2	㊀伸出（四肢、舌头等）。
	lung lung	lung2 lung
1	lung lung出	lung2 lung chv
1	lung出	lung2 chv
1	lung出来	lung2 chioh7 lei
1	lung去	lung2 khei
1	lung弗去	lung2 feh7 khei5
1	lung弗liao	lung2 feh7 liao
1	lung及去	lung gih8 khei
1	lung khao	lung2 khao
1	lung去直	lung2 khei5 djih8
	手牵手	xieo3 khian1 xieo9
	搓	chou1	㊀摩擦，用手用力擦。
	搓手	chou1 xieo3
	搓衣裳	chou1 i1 zong2
	搓洋袜	chou1 yang2 mah8
	搓漆垽膏	chou1 chih7 nin6 kao9
	搓橡皮揩	chou1 jiang2 bi2 kha9
1	搓搓	chou1 chou9
1	搓搓爻	chou1 chou9 rao
1	搓眼爻	chou1 nkan rao
1	搓粒爻	chou1 nhoh rao
1	搓搓过	chou1 chou9 kou
1	搓出	chou1 chv
1	搓出来	chou1 chioh lei
1	搓起	chou1 khi
1	搓搓起	chou1 dou khi
1	搓起来	chou1 khih lei
1	搓来	chou1 lei
1	搓弗来	chou1 feh7 lei2
1	搓及来	chou1 gih lei
1	搓及弗来	chou1 gih8 feh7 lei2
1	搓及去	chou1 gih khei
1	搓及giao	chou1 gih giao
1	搓爻	chou1 rao
1	搓fao	chou1 fao9
1	搓去	chou1 khei
1	搓弗去	chou1 feh7 khei5
1	搓走	chou1 ceo
1	搓djiao	chou1 djiao
1	搓liao	chou1 liao
1	搓弗liao	chou1 feh7 liao
1	搓dao	chou1 dao
1	搓牢	chou1 lao
1	搓牢牢	chou1 lao2 lao2
1	搓弗牢	chou1 feh7 lao2
	併	pin5	㊀合併。
1	併併	pin5 pin
1	併併来	pin5 pin lei
1	併併爻	pin5 pin rao
1	併眼爻	pin5 nkan rao
1	併粒爻	pin5 nhoh rao
1	併併起	pin5 pin khi
1	併起	pin5 khi
1	併併起	pin5 pin khi
1	併起来	pin5 khih lei
1	併来	pin5 lei
1	併弗来	pin5 feh7 lei2
1	併及来	pin5 gih lei
1	併及弗来	pin5 gih8 feh7 lei2
1	併及去	pin5 gih khei
1	併及giao	pin5 gih giao
1	併爻	pin5 rao
1	併fao	pin5 fao9
1	併liao	pin5 liao
1	併弗liao	pin5 feh7 liao
1	併dao	pin5 dao
	抡	lun6	㊀直击拳头。
	抡拳头	lun6 gion2 doe2
	拳头抡去	gion2 deo2 lun6 khei9
	洗	xi3	㊀洗。
	櫼	cin1	㊀塞。
	櫼尿櫼	cin1 xv1 cin1
	櫼瓶櫼	cin1 bin2 cin9
	挈	khih7	㊀提，拎。
	挈攋尿	khih7 la6 xv1
	挈攋屙	khih7 la6 ei5
	挈攋屙	khih7 la6 ou5
	搿	gah8	㊀两手合抱：佢手骨里一只大箱～leh㙮ㄦ。㊁拥抱：两个人～来妆吤某。㊂摞：一～衣裳约洗。
	搿搿	gah8 gan9
	搿毛头娃	gah8 mao2 deo2 ua9
	搿小人	gah8 xiao3 nin9
	防	vong2	㊀扶稳。
	桩	ciong1	㊀扶稳。
	牵	khian1	㊀搀扶。
	手牵手	xieo3 khian1 xieo9
	揿	khin5	㊀掐住脖子。
	头颈揿牢	deo2 kin9 khin5 lao
	迫	pak7	㊀贴近，靠近：趒边，𠏕猴~~我人里。㊁粘贴：畀张奖状～墙里。
	迫堆	pak7 tei9
	迫迫人	pak7 pak7 nin9
	捺	nah8	㊀按，压：箇个频道孬望，捺别样去。㊁从，向：～佢㙮ㄦ撩手痒。
	捺小桩	nah8 xiao3 ciong9	赌博游戏
	抓	cao1	㊀挠，搔：~~痒。
	抓抓痒
	搬	pen1
	搬物事	pen1 meh8 zy6
	畚	pen1	㊀搬。
	畚箕	pen1 ki9
	畚斗	pen1 teo3
	餵	v5
	餵奶	v5 nha1
	餵饭	v5 van6
	缲边	chiao1 pian1
	kin	kin1	㊀绑，扎。
	kin蟳	kin1 yin9
	hiao	hiao1	㊀掀开，揭起。
	hiao碗	hiao1 uon3
	被hiao爻	bi4 hiao1 rao
	被hiao开	bi4 hiao1 khei
	碗hiao来	uon3 hiao1 lei
	碗hiao去	uon3 hiao1 khei
	碗hiao khao	uon3 hiao1 khao
	碗hiao liao	uon3 hiao1 liao
	碗hiao hiao来	uon3 hiao1 hiao1 lei
	抖	teo3	㊀整理被子。
	抖被	teo3 bi4
	被抖起	bi4 teo3 khi
	被抖起来	bi4 teo3 khih lei
	被抖抖起	bi4 teo3 teo3 khi
	撩	liao6	㊀伸向远处够取东西。
	口舌撩鼻头	kheo3 jih8 liao6 beh8 deo2
	撩物事	liao6 meh8 zy6
	摊	than1	㊀放在锅里搨成薄片状。㊁铺（床、被子）。
	摊鸡子	than1 ki1 cy3
	摊拭饼	than1 xih7 pin3
	摊麦油煎	than1 mak8 yeo2 cian1
	摊麦饼	than1 mak8 pin3
	摊眠床	than1 men2 zong2
	摊被	than1 bi4
	被摊起	bi4 than1 khi
	被摊起来	bi4 than1 khih lei
	量	liang2
	量衣裳	liang2 i1 zong2
	㫰	long2
	㫰衣裳	long2 i1 zong2
	㫰㫰燥	long2 long2 sao5
	颊	kiah7
	颊菜蔬	kiah7 chei5 su3
	颊菜	kiah7 chei5
	舀	iao3
	舀水	iao3 xv3
	舀酱油	iao3 ciang5 yeo2
	舀酒	iao3 cieo3
	舀汤	iao3 thong9
	减	kan3
	减饭	kan3 van6
	饭减爻	van6 kan3 rao
	饭减减爻	van6 kan3 kan rao
	饭减眼爻	van6 kan3 nkan rao
	饭减粒爻	van6 kan3 nhoh rao
	减菜蔬	kan3 chei5 su3
	切	chiah7
	切菜	chiah7 chei5
	菜切起	chei5 chiah7 khi
	切菜蔬	chiah7 chei5 su3
	削	xiak7
	削铅笔	xiak7 khan3 pih7
	筛酒	sa1 cieo3
	打	tang3
	打双打	tang3 xiong1 tang9
	打算	tang3 son5
	打电脑	tang3 dian6 nhao3
	打游戏	tang3 yeo2 hi5
	打起头	tang3 khi3 deo9
	打派司	tang3 pha1 sy1
	打电话	tang3 dian6 wa6
	打手机	tang3 xieo3 ki9
	打字	tang3 zy6
	打乒乓	tang3 thin1 phang9
	打篮球	tang3 lan2 gieo2
	打排球	tang3 ba2 gieo2
	打的	tang3 tih7
	打人	tang3 nin2
	打屁股	tang3 phi5 ku3
	摏	xiung5
	摏石头	xiung5 jih8 deo2
	撞	djiong6	㊀扔。㊁叠起来。
	撞石头	djiong6 jih8 deo9
	捩	liah8
	捩面巾	liah8 mian6 kin9
	捩捩燥	liah8 liah8 sao5
	捩牙膏	liah8 ngo2 kao1
	撑	chang5	㊀挣钱。㊁支撑。
	撑钞票	chang5 chao3 phiao5
	撑凉伞	chang5 liang2 san5
	撑阳伞	chang5 yang2 san5
	撑雨伞	chang5 v3 san9
	撑铜钱	chang5 dung2 dian2
	敲	khao1	㊀敲击。
	敲门	khao1 men2
	敲竹杠	khao1 ciuk7 kong5
	敲白糖	khao1 bak8 dong9
	搨	thah7	㊀涂抹。
	搨面油	thah7 mian6 yeo2
	搨药膏	thah7 yak8 kao9
	搨药水	thah7 yak8 xv9
	摸	mok8	㊀探寻。㊁朝向。
	摸thin phang？
	摸弗着	mok8 feh7 djiak8
	摸leh着	mok8 leh8 djiak8
	摸头前	mok8 deo2 jian2
	摸后髋	mok8 eo3 khun9
	摸横边	mok8 wang2 pian9
	摸边里	mok8 pian1 lhi
	摸东边	mok8 tung1 pian1
	摸南边	mok8 nan2 pian1
	摸西边	mok8 xi1 pian1
	摸北边	mok8 puk7 pian1
	摸上向	mok8 zong6 hiang5
	摸上门	mok8 zong6 men9
	摸上	mok8 zong4
	摸下向	mok8 o3 hiang5
	摸下门	mok8 o3 men9
	摸落	mok8 lok8
	摸济手面	mok8 ci5 xieo3 mian6
	摸顺手面	mok8 jvn6 xieo3 mian6
	拆	chak7	㊀把合在一起的东西分开。
	拆线脚缝	chak7 xian5 kiak7 vung6
	拆线	chak7 xian5
	脱	thoh7
	脱班	theh7 pan9
	脱衣裳	thoh7 i1 zong2
	脱落下颔	thoh7 lok8 o3 gan4
	揩	ga6
	对	tei3
	对东对西	tei3 tung1 tei3 xi1
	对天碰地	tei3 thian1 bang6 di6
	拉	lha3
	拉镜	lha3 kin5
	拉票	lha3 phiao5
	拉链	lha1 lian6
	攀	phan1
	鞋攀	ra2 phan9
	䂻	dzang6	㊀往里紧塞：䂻进去凑，袋约䂻拍叻。
	䂻肚头	dzang6 du4 deo2
